age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target2,balance2,,steps 
36,blue-collar,married,secondary,no,yes,no,unknown,13,may,1001,4,-1,0,unknown,1,positive,,
52,management,married,unknown,no,yes,no,unknown,13,may,845,1,-1,0,unknown,1,positive,,
37,entrepreneur,divorced,secondary,no,yes,yes,unknown,13,may,753,6,-1,0,unknown,1,positive,,
46,blue-collar,married,primary,no,yes,no,unknown,13,may,916,2,-1,0,unknown,1,positive,,
35,blue-collar,divorced,primary,no,yes,no,unknown,13,may,945,2,-1,0,unknown,1,positive,,
43,technician,married,secondary,no,yes,no,unknown,13,may,1721,2,-1,0,unknown,1,positive,,
52,housemaid,married,secondary,no,yes,no,unknown,14,may,942,3,-1,0,unknown,1,positive,,
53,technician,divorced,primary,no,yes,no,unknown,14,may,476,1,-1,0,unknown,1,positive,,
48,blue-collar,divorced,primary,no,yes,no,unknown,14,may,832,1,-1,0,unknown,1,positive,,
41,blue-collar,single,primary,no,yes,no,unknown,14,may,1553,1,-1,0,unknown,1,positive,,
39,management,divorced,tertiary,no,yes,yes,unknown,14,may,1328,1,-1,0,unknown,1,positive,,
59,retired,married,secondary,no,yes,yes,unknown,14,may,1125,2,-1,0,unknown,1,positive,,
41,blue-collar,married,secondary,no,yes,no,unknown,14,may,858,1,-1,0,unknown,1,positive,,
48,blue-collar,married,secondary,no,yes,no,unknown,14,may,629,2,-1,0,unknown,1,positive,,
40,admin.,married,secondary,no,yes,no,unknown,14,may,704,1,-1,0,unknown,1,positive,,
48,blue-collar,married,secondary,no,yes,no,unknown,14,may,760,1,-1,0,unknown,1,positive,,
60,retired,married,primary,no,yes,no,unknown,14,may,930,1,-1,0,unknown,1,positive,,
40,technician,single,unknown,no,yes,no,unknown,14,may,1028,2,-1,0,unknown,1,positive,,
57,technician,married,tertiary,no,no,no,unknown,14,may,850,2,-1,0,unknown,1,negative,,
51,blue-collar,married,secondary,no,yes,no,unknown,14,may,927,1,-1,0,unknown,1,positive,,
41,blue-collar,divorced,secondary,no,yes,no,unknown,14,may,1423,3,-1,0,unknown,1,positive,,
41,blue-collar,married,secondary,no,yes,no,unknown,15,may,1162,4,-1,0,unknown,1,positive,,
46,admin.,married,secondary,no,yes,yes,unknown,15,may,646,3,-1,0,unknown,1,positive,,
52,blue-collar,divorced,primary,no,yes,no,unknown,15,may,755,1,-1,0,unknown,1,negative,,
43,self-employed,single,unknown,no,no,no,unknown,15,may,746,1,-1,0,unknown,1,positive,,
59,blue-collar,married,primary,no,yes,no,unknown,15,may,695,1,-1,0,unknown,1,positive,,
44,blue-collar,married,unknown,no,yes,no,unknown,15,may,483,1,-1,0,unknown,1,positive,,
49,admin.,single,secondary,no,yes,no,unknown,15,may,1257,3,-1,0,unknown,1,positive,,
49,unknown,married,primary,no,yes,yes,unknown,15,may,520,2,-1,0,unknown,1,positive,,
50,entrepreneur,married,primary,no,yes,no,unknown,15,may,651,32,-1,0,unknown,1,positive,,
40,services,married,primary,no,yes,no,unknown,15,may,920,2,-1,0,unknown,1,negative,,
41,admin.,married,primary,no,yes,no,unknown,15,may,500,1,-1,0,unknown,1,negative,,
44,technician,married,tertiary,no,yes,no,unknown,15,may,911,2,-1,0,unknown,1,positive,,
60,services,single,primary,no,yes,no,unknown,15,may,920,2,-1,0,unknown,1,positive,,
29,management,married,tertiary,no,no,no,unknown,15,may,1224,2,-1,0,unknown,1,positive,,
41,retired,divorced,primary,no,yes,no,unknown,15,may,1156,2,-1,0,unknown,1,negative,,
41,blue-collar,married,primary,no,yes,no,unknown,15,may,1052,1,-1,0,unknown,1,positive,,
42,technician,single,secondary,no,yes,no,unknown,15,may,1867,6,-1,0,unknown,1,positive,,
46,blue-collar,married,secondary,no,yes,no,unknown,15,may,1263,2,-1,0,unknown,1,positive,,
32,services,single,secondary,no,yes,no,unknown,15,may,697,3,-1,0,unknown,1,positive,,
36,services,single,unknown,no,yes,no,unknown,16,may,515,1,-1,0,unknown,1,positive,,
39,technician,married,tertiary,no,yes,yes,unknown,16,may,813,1,-1,0,unknown,1,positive,,
33,management,married,tertiary,no,yes,no,unknown,16,may,803,1,-1,0,unknown,1,positive,,
42,admin.,divorced,secondary,no,yes,no,unknown,16,may,844,1,-1,0,unknown,1,positive,,
31,self-employed,single,tertiary,no,yes,no,unknown,16,may,676,1,-1,0,unknown,1,positive,,
40,services,married,secondary,no,yes,no,unknown,16,may,1252,1,-1,0,unknown,1,positive,,
26,blue-collar,married,secondary,no,yes,no,unknown,16,may,1143,3,-1,0,unknown,1,positive,,
45,blue-collar,married,primary,no,yes,no,unknown,16,may,528,1,-1,0,unknown,1,positive,,
31,blue-collar,married,secondary,no,yes,no,unknown,16,may,688,1,-1,0,unknown,1,positive,,
29,admin.,single,secondary,no,yes,yes,unknown,16,may,803,1,-1,0,unknown,1,positive,,
27,technician,single,secondary,no,yes,no,unknown,16,may,787,1,-1,0,unknown,1,positive,,
37,services,divorced,secondary,no,yes,no,unknown,16,may,619,2,-1,0,unknown,1,positive,,
40,blue-collar,married,primary,no,yes,no,unknown,16,may,1230,3,-1,0,unknown,1,positive,,
33,blue-collar,single,secondary,no,yes,no,unknown,16,may,767,2,-1,0,unknown,1,negative,,
24,technician,single,secondary,no,yes,no,unknown,16,may,912,1,-1,0,unknown,1,positive,,
24,blue-collar,married,primary,no,yes,no,unknown,16,may,894,1,-1,0,unknown,1,positive,,
50,admin.,divorced,secondary,no,yes,no,unknown,16,may,1340,1,-1,0,unknown,1,positive,,
27,technician,single,tertiary,no,yes,no,unknown,16,may,897,1,-1,0,unknown,1,positive,,
54,management,single,tertiary,no,yes,no,unknown,16,may,1297,3,-1,0,unknown,1,positive,,
30,technician,single,secondary,no,yes,no,unknown,16,may,1193,5,-1,0,unknown,1,positive,,
34,blue-collar,married,primary,no,yes,yes,unknown,16,may,1064,4,-1,0,unknown,1,positive,,
37,management,single,secondary,no,yes,no,unknown,16,may,1187,4,-1,0,unknown,1,positive,,
41,admin.,single,secondary,no,yes,no,unknown,19,may,882,1,-1,0,unknown,1,positive,,
47,blue-collar,married,secondary,no,yes,no,unknown,19,may,943,2,-1,0,unknown,1,positive,,
31,admin.,married,secondary,no,yes,no,unknown,19,may,607,1,-1,0,unknown,1,positive,,
31,blue-collar,married,secondary,no,yes,no,unknown,19,may,1022,4,-1,0,unknown,1,positive,,
43,services,divorced,secondary,no,yes,no,unknown,19,may,552,3,-1,0,unknown,1,positive,,
37,management,divorced,tertiary,no,yes,no,unknown,19,may,1622,2,-1,0,unknown,1,positive,,
30,technician,single,tertiary,no,yes,yes,unknown,19,may,967,6,-1,0,unknown,1,positive,,
41,technician,married,secondary,no,yes,no,unknown,19,may,579,5,-1,0,unknown,1,positive,,
30,technician,single,tertiary,no,yes,no,unknown,19,may,1218,3,-1,0,unknown,1,positive,,
36,blue-collar,married,secondary,no,yes,no,unknown,20,may,446,1,-1,0,unknown,1,positive,,
35,blue-collar,divorced,secondary,no,yes,no,unknown,20,may,1205,1,-1,0,unknown,1,negative,,
29,services,single,secondary,no,yes,no,unknown,20,may,1882,2,-1,0,unknown,1,positive,,
35,blue-collar,married,primary,no,yes,no,unknown,20,may,1334,1,-1,0,unknown,1,positive,,
31,blue-collar,married,secondary,no,yes,no,unknown,20,may,182,2,-1,0,unknown,1,positive,,
35,services,married,secondary,no,yes,no,unknown,20,may,1777,1,-1,0,unknown,1,positive,,
34,technician,single,secondary,no,yes,no,unknown,20,may,1182,4,-1,0,unknown,1,positive,,
31,admin.,single,secondary,no,yes,yes,unknown,20,may,1045,1,-1,0,unknown,1,positive,,
44,technician,divorced,secondary,no,yes,no,unknown,20,may,650,3,-1,0,unknown,1,positive,,
36,blue-collar,married,primary,no,yes,yes,unknown,20,may,1063,2,-1,0,unknown,1,positive,,
39,technician,single,secondary,no,yes,no,unknown,20,may,1410,2,-1,0,unknown,1,positive,,
35,blue-collar,married,unknown,no,yes,no,unknown,20,may,843,2,-1,0,unknown,1,positive,,
41,blue-collar,married,primary,no,yes,no,unknown,20,may,1392,2,-1,0,unknown,1,positive,,
31,blue-collar,married,secondary,no,yes,no,unknown,20,may,719,1,-1,0,unknown,1,positive,,
31,blue-collar,single,primary,no,yes,no,unknown,21,may,565,1,-1,0,unknown,1,positive,,
34,blue-collar,married,secondary,no,yes,no,unknown,21,may,905,1,-1,0,unknown,1,positive,,
32,technician,married,secondary,no,yes,no,unknown,21,may,783,2,-1,0,unknown,1,positive,,
36,management,married,tertiary,no,yes,yes,unknown,21,may,958,2,-1,0,unknown,1,positive,,
30,blue-collar,single,secondary,yes,yes,no,unknown,21,may,412,1,-1,0,unknown,1,positive,,
37,technician,single,secondary,no,yes,no,unknown,21,may,795,1,-1,0,unknown,1,positive,,
54,management,divorced,tertiary,no,yes,no,unknown,21,may,828,4,-1,0,unknown,1,positive,,
36,blue-collar,married,primary,no,yes,no,unknown,21,may,649,2,-1,0,unknown,1,positive,,
31,management,single,tertiary,no,yes,no,unknown,21,may,506,2,-1,0,unknown,1,positive,,
27,technician,married,secondary,no,yes,yes,unknown,21,may,857,1,-1,0,unknown,1,positive,,
34,retired,married,primary,no,no,no,unknown,21,may,1681,1,-1,0,unknown,1,positive,,
32,services,single,secondary,no,yes,no,unknown,21,may,681,3,-1,0,unknown,1,negative,,
30,technician,single,tertiary,no,yes,no,unknown,21,may,1697,2,-1,0,unknown,1,positive,,
32,technician,single,tertiary,no,yes,no,unknown,21,may,860,2,-1,0,unknown,1,positive,,
37,technician,single,secondary,no,yes,no,unknown,21,may,799,1,-1,0,unknown,1,positive,,
38,blue-collar,married,secondary,no,yes,no,unknown,21,may,611,2,-1,0,unknown,1,positive,,
32,blue-collar,married,secondary,no,yes,no,unknown,21,may,923,3,-1,0,unknown,1,positive,,
33,blue-collar,married,secondary,no,yes,no,unknown,21,may,521,3,-1,0,unknown,1,negative,,
35,blue-collar,married,primary,no,yes,no,unknown,23,may,1349,8,-1,0,unknown,1,positive,,
35,self-employed,divorced,tertiary,no,yes,no,unknown,23,may,736,2,-1,0,unknown,1,positive,,
30,blue-collar,single,secondary,no,yes,no,unknown,23,may,785,1,-1,0,unknown,1,positive,,
30,blue-collar,married,secondary,no,yes,yes,unknown,23,may,1073,1,-1,0,unknown,1,positive,,
34,blue-collar,married,secondary,no,yes,no,unknown,23,may,924,1,-1,0,unknown,1,positive,,
45,blue-collar,divorced,primary,no,yes,no,unknown,23,may,1030,1,-1,0,unknown,1,negative,,
45,admin.,married,secondary,no,yes,no,unknown,23,may,893,3,-1,0,unknown,1,positive,,
33,blue-collar,married,secondary,no,yes,no,unknown,23,may,588,3,-1,0,unknown,1,positive,,
33,blue-collar,divorced,secondary,no,yes,no,unknown,23,may,777,2,-1,0,unknown,1,positive,,
44,management,divorced,tertiary,no,no,no,unknown,23,may,597,6,-1,0,unknown,1,positive,,
40,blue-collar,married,primary,no,yes,no,unknown,23,may,1015,3,-1,0,unknown,1,positive,,
31,blue-collar,married,secondary,no,yes,no,unknown,23,may,1392,2,-1,0,unknown,1,positive,,
30,technician,married,tertiary,no,yes,no,unknown,26,may,414,2,-1,0,unknown,1,positive,,
44,technician,divorced,secondary,no,yes,no,unknown,26,may,788,11,-1,0,unknown,1,positive,,
34,services,married,secondary,no,yes,no,unknown,26,may,682,1,-1,0,unknown,1,negative,,
31,admin.,single,secondary,no,yes,no,unknown,26,may,543,2,-1,0,unknown,1,positive,,
45,blue-collar,married,secondary,no,yes,no,unknown,26,may,745,4,-1,0,unknown,1,positive,,
37,blue-collar,married,secondary,no,no,no,unknown,26,may,679,2,-1,0,unknown,1,positive,,
28,self-employed,single,tertiary,no,yes,no,unknown,26,may,1560,2,-1,0,unknown,1,negative,,
32,admin.,single,secondary,no,yes,no,unknown,26,may,1234,3,-1,0,unknown,1,positive,,
37,blue-collar,divorced,secondary,no,yes,no,unknown,26,may,642,2,-1,0,unknown,1,positive,,
34,management,married,tertiary,no,yes,no,unknown,26,may,895,4,-1,0,unknown,1,positive,,
38,admin.,divorced,secondary,no,yes,no,unknown,26,may,431,2,-1,0,unknown,1,positive,,
28,admin.,single,secondary,no,yes,no,unknown,26,may,741,6,-1,0,unknown,1,positive,,
31,management,divorced,tertiary,no,yes,no,unknown,26,may,1272,4,-1,0,unknown,1,positive,,
30,services,married,secondary,no,yes,no,unknown,26,may,1446,7,-1,0,unknown,1,positive,,
30,admin.,married,secondary,no,yes,yes,unknown,26,may,414,2,-1,0,unknown,1,positive,,
59,services,married,secondary,no,yes,no,unknown,26,may,748,3,-1,0,unknown,1,negative,,
24,blue-collar,married,secondary,no,yes,no,unknown,26,may,896,3,-1,0,unknown,1,positive,,
26,services,single,secondary,no,yes,no,unknown,26,may,764,2,-1,0,unknown,1,positive,,
59,retired,single,secondary,no,yes,no,unknown,27,may,1063,5,-1,0,unknown,1,positive,,
53,technician,married,secondary,no,yes,no,unknown,27,may,1205,1,-1,0,unknown,1,negative,,
30,entrepreneur,single,primary,no,yes,yes,unknown,27,may,1051,1,-1,0,unknown,1,negative,,
28,management,single,tertiary,no,yes,no,unknown,27,may,740,1,-1,0,unknown,1,positive,,
37,admin.,married,secondary,no,yes,no,unknown,27,may,731,3,-1,0,unknown,1,positive,,
24,self-employed,single,tertiary,no,yes,no,unknown,27,may,935,1,-1,0,unknown,1,positive,,
30,admin.,single,secondary,no,yes,yes,unknown,27,may,751,1,-1,0,unknown,1,negative,,
25,blue-collar,married,secondary,no,yes,no,unknown,27,may,709,1,-1,0,unknown,1,positive,,
44,services,divorced,secondary,no,yes,yes,unknown,27,may,3094,2,-1,0,unknown,1,positive,,
29,management,married,tertiary,no,no,no,unknown,28,may,938,2,-1,0,unknown,1,positive,,
26,management,single,tertiary,no,yes,no,unknown,28,may,1560,2,-1,0,unknown,1,positive,,
26,technician,single,secondary,no,yes,no,unknown,28,may,576,3,-1,0,unknown,1,positive,,
27,services,single,secondary,no,yes,no,unknown,28,may,543,2,-1,0,unknown,1,positive,,
25,self-employed,single,secondary,no,yes,no,unknown,28,may,615,2,-1,0,unknown,1,positive,,
28,management,married,secondary,no,yes,no,unknown,28,may,507,1,-1,0,unknown,1,positive,,
23,services,single,secondary,no,yes,no,unknown,28,may,1183,1,-1,0,unknown,1,positive,,
27,blue-collar,single,secondary,no,yes,yes,unknown,28,may,694,2,-1,0,unknown,1,positive,,
23,technician,single,tertiary,no,yes,no,unknown,28,may,806,1,-1,0,unknown,1,positive,,
46,technician,married,secondary,no,no,no,unknown,28,may,796,1,-1,0,unknown,1,positive,,
23,student,single,unknown,no,yes,no,unknown,28,may,664,2,-1,0,unknown,1,positive,,
57,retired,married,tertiary,no,yes,yes,unknown,28,may,648,1,-1,0,unknown,1,negative,,
34,management,single,tertiary,no,yes,no,unknown,28,may,864,2,-1,0,unknown,1,positive,,
28,student,single,secondary,no,yes,no,unknown,28,may,1730,1,-1,0,unknown,1,positive,,
51,entrepreneur,married,unknown,no,yes,no,unknown,28,may,560,9,-1,0,unknown,1,positive,,
35,blue-collar,married,secondary,no,yes,yes,unknown,29,may,543,1,-1,0,unknown,1,negative,,
35,admin.,married,secondary,no,yes,no,unknown,29,may,539,1,-1,0,unknown,1,positive,,
27,blue-collar,single,secondary,no,yes,no,unknown,29,may,733,1,-1,0,unknown,1,positive,,
56,blue-collar,married,secondary,no,yes,no,unknown,29,may,791,2,-1,0,unknown,1,positive,,
45,unemployed,divorced,secondary,no,yes,no,unknown,29,may,746,1,-1,0,unknown,1,positive,,
60,blue-collar,divorced,secondary,no,yes,no,unknown,29,may,1207,1,-1,0,unknown,1,negative,,
56,technician,married,secondary,no,yes,no,unknown,29,may,535,2,-1,0,unknown,1,positive,,
33,blue-collar,single,primary,no,yes,no,unknown,29,may,1059,2,-1,0,unknown,1,positive,,
27,management,single,tertiary,no,yes,no,unknown,29,may,789,3,-1,0,unknown,1,positive,,
30,admin.,married,secondary,no,yes,no,unknown,29,may,792,3,-1,0,unknown,1,positive,,
45,blue-collar,divorced,primary,no,yes,no,unknown,29,may,833,2,-1,0,unknown,1,positive,,
29,blue-collar,single,secondary,no,yes,no,unknown,29,may,814,2,-1,0,unknown,1,negative,,
38,management,divorced,tertiary,no,yes,no,unknown,29,may,1363,2,-1,0,unknown,1,positive,,
34,blue-collar,married,primary,no,yes,no,unknown,29,may,751,3,-1,0,unknown,1,positive,,
30,blue-collar,married,secondary,no,yes,no,unknown,29,may,1109,3,-1,0,unknown,1,positive,,
44,blue-collar,single,primary,no,yes,no,unknown,29,may,828,3,-1,0,unknown,1,positive,,
36,management,single,tertiary,no,yes,no,unknown,30,may,917,1,-1,0,unknown,1,positive,,
40,technician,single,secondary,no,yes,no,unknown,30,may,553,3,-1,0,unknown,1,positive,,
38,technician,married,secondary,no,yes,no,unknown,30,may,762,3,-1,0,unknown,1,positive,,
36,blue-collar,single,secondary,no,yes,yes,unknown,30,may,1133,2,-1,0,unknown,1,positive,,
37,management,divorced,secondary,no,yes,no,unknown,30,may,638,1,-1,0,unknown,1,positive,,
35,management,single,tertiary,no,yes,no,unknown,30,may,763,1,-1,0,unknown,1,positive,,
48,technician,married,secondary,yes,no,no,unknown,30,may,682,1,-1,0,unknown,1,negative,,
38,admin.,divorced,secondary,no,yes,no,unknown,30,may,604,2,-1,0,unknown,1,positive,,
40,services,married,primary,no,yes,no,unknown,30,may,854,2,-1,0,unknown,1,positive,,
42,unemployed,divorced,secondary,no,yes,no,unknown,30,may,855,2,-1,0,unknown,1,positive,,
46,management,divorced,tertiary,no,yes,no,unknown,30,may,1269,1,-1,0,unknown,1,positive,,
35,technician,divorced,secondary,no,yes,no,unknown,30,may,691,10,-1,0,unknown,1,positive,,
34,technician,divorced,secondary,no,yes,no,unknown,30,may,1097,15,-1,0,unknown,1,positive,,
29,self-employed,single,tertiary,no,yes,no,unknown,30,may,1500,2,-1,0,unknown,1,positive,,
32,services,married,secondary,no,yes,no,unknown,30,may,1236,2,-1,0,unknown,1,negative,,
50,unemployed,married,secondary,no,yes,no,unknown,30,may,886,3,-1,0,unknown,1,positive,,
35,blue-collar,married,secondary,no,yes,yes,unknown,30,may,1343,3,-1,0,unknown,1,positive,,
36,technician,single,secondary,no,yes,no,unknown,30,may,812,3,-1,0,unknown,1,positive,,
53,blue-collar,divorced,primary,no,yes,no,unknown,30,may,1980,2,-1,0,unknown,1,positive,,
32,technician,single,secondary,no,yes,no,unknown,30,may,722,3,-1,0,unknown,1,positive,,
46,management,single,tertiary,no,yes,no,unknown,30,may,984,2,-1,0,unknown,1,positive,,
26,management,single,tertiary,no,yes,no,unknown,30,may,228,2,-1,0,unknown,1,positive,,
45,technician,single,secondary,no,yes,no,unknown,30,may,891,4,-1,0,unknown,1,positive,,
31,unemployed,divorced,primary,no,yes,no,unknown,30,may,745,12,-1,0,unknown,1,negative,,
29,management,single,tertiary,no,yes,no,unknown,30,may,539,12,-1,0,unknown,1,negative,,
53,entrepreneur,single,secondary,no,yes,no,unknown,30,may,1044,5,-1,0,unknown,1,positive,,
27,blue-collar,married,primary,no,yes,no,unknown,30,may,1193,2,-1,0,unknown,1,positive,,
39,management,married,tertiary,no,yes,no,unknown,2,jun,526,2,-1,0,unknown,1,positive,,
36,services,married,secondary,no,yes,no,unknown,2,jun,394,1,-1,0,unknown,1,positive,,
41,blue-collar,married,primary,no,yes,yes,unknown,2,jun,659,2,-1,0,unknown,1,positive,,
36,services,married,primary,no,yes,no,unknown,2,jun,1036,1,-1,0,unknown,1,negative,,
32,technician,married,secondary,no,yes,no,unknown,2,jun,815,1,-1,0,unknown,1,positive,,
35,services,married,secondary,no,yes,no,unknown,2,jun,563,1,-1,0,unknown,1,positive,,
36,management,single,tertiary,no,yes,no,unknown,2,jun,1068,1,-1,0,unknown,1,negative,,
35,management,married,tertiary,no,yes,no,unknown,2,jun,230,3,-1,0,unknown,1,positive,,
30,blue-collar,single,secondary,no,yes,no,unknown,2,jun,747,2,-1,0,unknown,1,positive,,
42,blue-collar,married,secondary,no,yes,no,unknown,2,jun,671,5,-1,0,unknown,1,positive,,
42,technician,single,secondary,yes,yes,no,unknown,2,jun,555,5,-1,0,unknown,1,negative,,
32,blue-collar,married,primary,no,yes,no,unknown,2,jun,777,4,-1,0,unknown,1,positive,,
40,unemployed,married,secondary,no,yes,no,unknown,2,jun,605,6,-1,0,unknown,1,positive,,
29,blue-collar,single,secondary,no,yes,no,unknown,2,jun,707,14,-1,0,unknown,1,positive,,
44,management,divorced,tertiary,yes,yes,no,unknown,2,jun,432,4,-1,0,unknown,1,negative,,
32,technician,single,secondary,no,yes,no,unknown,3,jun,1173,3,-1,0,unknown,1,positive,,
31,unemployed,married,secondary,no,yes,yes,unknown,3,jun,963,2,-1,0,unknown,1,positive,,
40,self-employed,married,secondary,yes,yes,yes,unknown,3,jun,941,3,-1,0,unknown,1,negative,,
43,entrepreneur,married,secondary,no,no,no,unknown,3,jun,1025,7,-1,0,unknown,1,negative,,
27,management,single,secondary,no,yes,no,unknown,3,jun,732,2,-1,0,unknown,1,positive,,
37,services,single,secondary,no,yes,no,unknown,3,jun,1045,3,-1,0,unknown,1,positive,,
23,services,single,secondary,no,yes,no,unknown,3,jun,768,1,-1,0,unknown,1,positive,,
25,management,married,primary,no,yes,no,unknown,3,jun,801,1,-1,0,unknown,1,positive,,
26,blue-collar,single,secondary,yes,yes,no,unknown,3,jun,482,2,-1,0,unknown,1,negative,,
47,blue-collar,divorced,primary,no,yes,no,unknown,3,jun,2456,2,-1,0,unknown,1,positive,,
45,services,single,primary,no,yes,no,unknown,3,jun,1259,6,-1,0,unknown,1,positive,,
35,admin.,married,secondary,no,yes,no,unknown,3,jun,1363,7,-1,0,unknown,1,negative,,
32,technician,single,tertiary,no,yes,no,unknown,3,jun,1336,4,-1,0,unknown,1,positive,,
45,management,divorced,secondary,no,yes,no,unknown,4,jun,633,1,-1,0,unknown,1,positive,,
24,blue-collar,married,secondary,no,yes,yes,unknown,4,jun,1242,1,-1,0,unknown,1,negative,,
